Учень,День тижня,Група витрат,Стаття витрат,Сума
Надія,Четвер,Розваги,Розваги,52
Надія,П'ятниця,Різне,Вода/Закуски,88
Надія,П'ятниця,Розваги,Розваги,118
Надія,П'ятниця,Проживання,Готель,1287
Надія,Субота,Різне,Вода/Закуски,57
Надія,Субота,Харчування,Обід,422
Надія,Субота,Проживання,Готель,661
Надія,Неділя,Харчування,Вечеря,456
Надія,Неділя,Проживання,Готель,1280
Надія,Неділя,Харчування,Обід,291
Софія,Понеділок,Екскурсії,Екскурсія,427
Софія,Понеділок,Проживання,Готель,1019
Софія,Понеділок,Харчування,Обід,301
Софія,Вівторок,Харчування,Сніданок,238
Софія,Вівторок,Харчування,Обід,471
Софія,Вівторок,Розваги,Розваги,50
Софія,Середа,Екскурсії,Екскурсія,109
Софія,Середа,Харчування,Обід,257
Софія,Середа,Харчування,Вечеря,385
Софія,Четвер,Розваги,Розваги,64
Софія,Четвер,Харчування,Обід,323
Софія,Четвер,Харчування,Сніданок,245
Софія,П'ятниця,Проживання,Готель,1335
Софія,П'ятниця,Розваги,Розваги,67
Софія,П'ятниця,Харчування,Вечеря,589
Софія,Субота,Екскурсії,Екскурсія,437
Софія,Субота,Харчування,Сніданок,221
Софія,Субота,Різне,Вода/Закуски,90
Софія,Неділя,Харчування,Сніданок,255
Софія,Неділя,Харчування,Обід,416
Софія,Неділя,Екскурсії,Екскурсія,208
Адріан,Понеділок,Екскурсії,Екскурсія,465
Адріан,Понеділок,Різне,Вода/Закуски,59
Адріан,Понеділок,Харчування,Сніданок,202
Адріан,Вівторок,Різне,Вода/Закуски,76
Адріан,Вівторок,Розваги,Розваги,182
Адріан,Вівторок,Харчування,Обід,431
Адріан,Середа,Проживання,Готель,565
Адріан,Середа,Харчування,Сніданок,186
Адріан,Середа,Різне,Вода/Закуски,22
Адріан,Четвер,Екскурсії,Екскурсія,401
Адріан,Четвер,Розваги,Розваги,106
Адріан,Четвер,Харчування,Сніданок,101
Адріан,П'ятниця,Проживання,Готель,734
Адріан,П'ятниця,Різне,Вода/Закуски,28
Адріан,П'ятниця,Розваги,Розваги,58
Адріан,Субота,Розваги,Розваги,181
Адріан,Субота,Харчування,Обід,321
Адріан,Субота,Проживання,Готель,785
Адріан,Неділя,Різне,Вода/Закуски,89
Адріан,Неділя,Харчування,Вечеря,267
Адріан,Неділя,Харчування,Сніданок,285
Олександра,Понеділок,Екскурсії,Екскурсія,224
Олександра,Понеділок,Розваги,Розваги,171
Олександра,Понеділок,Харчування,Вечеря,408
Олександра,Вівторок,Харчування,Сніданок,268
Олександра,Вівторок,Проживання,Готель,941
Олександра,Вівторок,Різне,Вода/Закуски,65
Олександра,Середа,Харчування,Вечеря,573
Олександра,Середа,Розваги,Розваги,63
Олександра,Середа,Різне,Вода/Закуски,32
Олександра,Четвер,Проживання,Готель,1319
Олександра,Четвер,Харчування,Вечеря,255
Олександра,Четвер,Харчування,Обід,327
Олександра,П'ятниця,Харчування,Сніданок,214
Олександра,П'ятниця,Розваги,Розваги,85
Олександра,П'ятниця,Екскурсії,Екскурсія,316
Олександра,Субота,Харчування,Сніданок,163
Олександра,Субота,Харчування,Обід,238
Олександра,Субота,Харчування,Вечеря,426
Олександра,Неділя,Розваги,Розваги,62
Олександра,Неділя,Екскурсії,Екскурсія,433
Олександра,Неділя,Проживання,Готель,1053
Анатолій,Понеділок,Розваги,Розваги,110
Анатолій,Понеділок,Проживання,Готель,670
Анатолій,Понеділок,Різне,Вода/Закуски,72
Анатолій,Вівторок,Харчування,Вечеря,405
Анатолій,Вівторок,Розваги,Розваги,65
Анатолій,Вівторок,Харчування,Сніданок,142
Анатолій,Середа,Харчування,Вечеря,335
Анатолій,Середа,Проживання,Готель,1448
Анатолій,Середа,Розваги,Розваги,166
Анатолій,Четвер,Харчування,Обід,449
Анатолій,Четвер,Харчування,Вечеря,279
Анатолій,Четвер,Екскурсії,Екскурсія,197
Анатолій,П'ятниця,Харчування,Обід,496
Анатолій,П'ятниця,Харчування,Сніданок,288
Анатолій,П'ятниця,Проживання,Готель,1055
Анатолій,Субота,Проживання,Готель,558
Анатолій,Субота,Різне,Вода/Закуски,26
Анатолій,Субота,Харчування,Обід,499
Анатолій,Неділя,Харчування,Вечеря,280
Анатолій,Неділя,Екскурсії,Екскурсія,129
Анатолій,Неділя,Різне,Вода/Закуски,85
Ігор,Понеділок,Проживання,Готель,1109
Ігор,Понеділок,Харчування,Сніданок,117
Ігор,Понеділок,Розваги,Розваги,110
Ігор,Вівторок,Харчування,Вечеря,326
Ігор,Вівторок,Проживання,Готель,1092
Ігор,Вівторок,Екскурсії,Екскурсія,404
Ігор,Середа,Проживання,Готель,929
Ігор,Середа,Екскурсії,Екскурсія,436
Ігор,Середа,Розваги,Розваги,199
Ігор,Четвер,Екскурсії,Екскурсія,233
Ігор,Четвер,Розваги,Розваги,102
Ігор,Четвер,Харчування,Обід,360
Ігор,П'ятниця,Харчування,Сніданок,133
Ігор,П'ятниця,Харчування,Обід,353
Ігор,П'ятниця,Харчування,Вечеря,434
Ігор,Субота,Харчування,Обід,434
Ігор,Субота,Проживання,Готель,1136
Ігор,Субота,Різне,Вода/Закуски,92
Ігор,Неділя,Проживання,Готель,718
Ігор,Неділя,Розваги,Розваги,179
Ігор,Неділя,Екскурсії,Екскурсія,235
